area_type,prop_type,transaction,location,Super Area,Status,Property Age,Zoning,Carpet Area,Washroom,Parking,Pantry,Overlooking,Floor,Entrance,Furnishing Status,Plot Area,Plot (L X B),Facing,Available From,Width of Road,Open Sides,ParkingRatio,Water Availability,Hospital,Seats,price_std,area_std,location_cleaned,latitude,longitude
Super Area,industrial building,sale,sector 4 noida,4400 sqft,Ready to Move,5 to 10 years old,Industrial,,,,,,,,,,,,,,,,,,,88500000.0,4400.0,sector 4 noida,28.5836826,77.3229658
Carpet Area,office space,sale,"wave silver tower, sector 18, noida sector 18 metro noida",,Ready to Move,,,662 sqft,2,2 Open,Wet Pantry/Cafeteria,Main Road,,,,,,,,,,,,,,13500000.0,662.0,noida sector 18 metro noida,28.5705631,77.3266184
Carpet Area,shop,sale,"devika vibe, sector 110, dadri road noida",,Ready to Move,New Construction,,184 sqft,,,,,Ground out of 1,20 ft wide,Unfurnished,,,,,,,,,,,17400000.0,184.0,dadri road noida,28.5566273,77.3257596
Plot Area,industrial land,sale,"badli industrial area, rohini new delhi",,,,,,,,,,,,,4725 sqft,,,,,,,,,,85000000.0,4725.0,rohini new delhi,28.719436,77.0672351
Super Area,industrial building,sale,block b sector 4 noida,8000 sqft,Ready to Move,5 to 10 years old,Industrial,,,,,,,,,,,,,,,,,,,750000000.0,8000.0,block b sector 4 noida,28.4707522,77.5319152
Super Area,office space,sale,"grandthum by group 108, noida extension greater noida",1107 sqft,Possession by Jun '26,,,,4,,Dry Pantry/Cafeteria,Pool,12 out of 32,,,,,,,,,,,,,6090000.0,1107.0,noida extension greater noida,28.5706333,77.3272147
Carpet Area,shop,sale,"jmd galleria, sohna gurgaon",,Ready to Move,10 to 15 years old,,510 sqft,,,,,1 out of 6,15 ft wide,Unfurnished,,,,,,,,,,,9000000.0,510.0,sohna gurgaon,28.3241636,77.0848644
Plot Area,land,sale,"sector 143, noida express way noida",,,,Commercial,,,,,,,,,3150 sqft,19.8 X 159,North - East,,,,,,,,70000000.0,3150.0,noida express way noida,28.5706333,77.3272147
Carpet Area,office in it park/ sez,sale,"assotech business cresterra, sector 135, noida express way noida",,Ready to Move,,,600 sqft,2,1 Covered,Dry Pantry/Cafeteria,,,,,,,East,,,,,,,,10000000.0,600.0,noida express way noida,28.5706333,77.3272147
Carpet Area,office space,sale,"vipul business park, sector 48 gurgaon",,Ready to Move,,,800 sqft,9,6 Open,Wet Pantry/Cafeteria,,,,,,,East,,,,,,,,10000000.0,800.0,sector 48 gurgaon,28.4104903,77.0394627
Plot Area,land,sale,"sector 151, noida express way noida",,,,,,,,,,,,,4306 sqft,98.4 X 43.7,North - East,,,,,,,,10200000.0,4306.0,noida express way noida,28.5706333,77.3272147
Carpet Area,office space,sale,"spaze i tech park, ghasola, sector 49 gurgaon",,Ready to Move,,,1200 sqft,6,2 Covered,Wet Pantry/Cafeteria,,,,,,,East,,,,,,,,8800000.0,1200.0,sector 49 gurgaon,28.4128851,77.0498362
Carpet Area,shop,sale,splendor onyx noida,,Possession by Jun '27,,,200 sqft,,,,,1 out of 19,,Semi-Furnished,,,North - East,Jun '27,,,,,,,900000.0,200.0,splendor onyx noida,28.5706333,77.3272147
Super Area,industrial building,sale,b block sector 63 noida,1000 sqm,Ready to Move,Less than 5 years old,Industrial,,,,,,,,,,,,,,,,,,,185000000.0,10763.9,b block sector 63 noida,28.6197533,77.3703883
Carpet Area,office space,sale,"dlf prime towers, okhla phase 1 new delhi",,Ready to Move,,,3200 sqft,2,2 Open,Wet Pantry/Cafeteria,,4 out of 8,,,,,,,,,,,,,44500000.0,3200.0,okhla phase 1 new delhi,28.5470861,77.3135343
