"Property Type","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Posted By"
"Warehouse","https://www.99acres.com/warehouse-for-sale-in-mayapuri-industrial-area-phase-1-west-delhi-24300-sq-ft-r20-spid-G54153558","35000000","1440","24300","Mayapuri Industrial Area Phase 1, Delhi, West Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-paschim-vihar-west-delhi-385-sq-ft-r3-spid-Z75092567","5000000","12987","385","Paschim Vihar, Delhi, West Delhi","Dealer"
"Hotel / Resort","https://www.99acres.com/hotel-resort-for-sale-in-chattarpur-south-delhi-50000-sq-ft-spid-M84185860","750000000","15000","50000","Chattarpur, Delhi","Owner"
"Shop","https://www.99acres.com/migsun-rohini-central-sector-22-rohini-north-delhi-npxid-c421344","5000000","","","Sector 22 Rohini, North Delhi","Builder"
"Shop","https://www.99acres.com/the-omaxe-state-sector-19b-dwarka-delhi-npxid-c428729","6600000","","","Sector 19B Dwarka, Delhi South West","Builder"
"Shop","https://www.99acres.com/omaxe-chandni-chowk-chandni-chowk-central-delhi-npxid-c12665","11900000","","","Chandni Chowk, Central Delhi","Builder"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-mohan-co-operative-industrial-estate-south-delhi-3550-sq-yard-spid-G84049062","600000000","18779","31950","Mohan Co-operative Industrial Estate, Delhi, South Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-block-g-kalkaji-south-delhi-1425-sq-ft-spid-O80599009","26000000","18245","1425","Block G Kalkaji, Delhi, South Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-block-b-pocket-c-sector-1-rohini-north-delhi-526-sq-ft-r1-spid-Z77899411","14500000","27566","526","Block B Pocket C Sector 1 Rohini, Delhi, North Delhi","Owner"
"Showroom","https://www.99acres.com/showroom-for-sale-in-omaxe-chandni-chowk-kaccha-bagh-area-central-delhi-378-sq-ft-spid-B83959228","85400000","226000","378","Kaccha Bagh Area, Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-paharganj-central-delhi-300-sq-ft-spid-D83500842","24000000","80000","300","Paharganj, Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-ip-extension-east-delhi-299-sq-ft-spid-D80641309","5000000","16722","200","IP Extension, Delhi, East Delhi","Owner"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-sector-7-dwarka-delhi-2950-sq-ft-spid-Q83170936","21000000","7118","2225","Sector 7 Dwarka, Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-karkardooma-east-delhi-2400-sq-ft-spid-C84089850","45000000","28571","1575","KarKardooma, Delhi, East Delhi","Owner"
"Commercial plot / Land","https://www.99acres.com/other-commercial-property-for-sale-in-pocket-a-okhla-phase-1-south-delhi-8100-sq-ft-spid-F83663100","225000000","27778","8100","Pocket A Okhla Phase 1, Delhi, South Delhi","Owner"
"Shop","https://www.99acres.com/kw-blue-pearl-resale-in-karol-bagh-central-delhi-497127-cffid","3300000","","","Karol Bagh, Delhi",""
"Shop","https://www.99acres.com/the-omaxe-state-sector-19b-dwarka-delhi-npxid-c428729","6600000","","","Sector 19B Dwarka, Delhi",""
"Shop","https://www.99acres.com/migsun-rohini-central-sector-22-rohini-north-delhi-npxid-c421344","4500000","","","Sector 22 Rohini, Delhi",""
"Shop","https://www.99acres.com/commercial-property-in-chandni-chowk-central-delhi-ffid","11900000","","","Chandni Chowk, Delhi",""
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-narela-north-delhi-2250-sq-ft-spid-U83281458","12000000","53333","2250","Narela, Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-devika-sadar-bazaar-sadar-bazar-central-delhi-1027-sq-ft-spid-F83244628","128400000","125000","650","Sadar Bazar, Delhi","Owner"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-mukerjee-park-west-delhi-100-sq-yard-spid-S81904358","41500000","46111","900","Mukerjee Park, Delhi, West Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-bhikaji-cama-place-south-delhi-442-sq-ft-spid-A81053755","10000000","22624","442","Bhikaji Cama Place, Delhi, South Delhi","Owner"
