"Property Type","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Highlights"
"Shop for sale in Chandni Chowk, Delhi","8800000","200000","42","Chandni Chowk, Delhi","15.0% ROI, ₹ 51334 Rental Income"
"Shop for sale in Chandni Chowk, Delhi","10400000","200000","51","Chandni Chowk, Delhi","7.0% ROI, ₹ 60666 Rental Income"
"Shop for sale in Chandni Chowk, Delhi","7590000","165000","45","Chandni Chowk, Delhi","7.0% ROI, ₹ 44275 Rental Income"
"Shop for sale in Chandni Chowk, Delhi","8085000","165000","45","Chandni Chowk, Delhi","7.0% ROI, ₹ 47165 Rental Income"
"Shop for sale in Chandni Chowk, Delhi","8250000","165000","48","Chandni Chowk, Delhi","7.0% ROI, ₹ 48125 Rental Income"
"Shop for sale in Chandni Chowk, Delhi","4800000","120000","20","Chandni Chowk, Delhi","9.0% ROI, ₹ 36000 Rental Income"
"Commercial plot / Land for sale in Sultanpur, Delhi","137500000","61111","2250","Sultanpur, Delhi","29.99% ROI, ₹ 9000000 Rental Income"
"Shop for sale in Block MG1 Vikaspuri, Delhi","33000000","41250","800","Block MG1 Vikaspuri, Delhi","₹ 90000 Rental Income, North-East Facing"
"Ready to move Office Space for sale in Sector 7 Rohini, Delhi","11000000","14048","783","Sector 7 Rohini, Delhi","Rohini west Nearby"
"Shop for sale in Preet Vihar, Delhi","16000000","53333","300","Preet Vihar, Delhi","North Facing, Ground Floor, +1"
"Showroom for sale in Nirman Vihar, Delhi","75000000","78947","950","Nirman Vihar, Delhi","4.32% ROI, ₹ 300000 Rental Income"
"Farm / Agriculture land for sale in Vasant Kunj, Delhi","400000000","25397","15750","Vasant Kunj, Delhi","Igi airport Nearby, Emporio mall Nearby, Located on main road masoodpur Mehrauli to mahipalpur road Excellent location for commercial purpose"
"Bare shell Office Space for sale in Okhla Industrial Area, Delhi","42000000","14000","3000","Okhla Industrial Area, Delhi","Power Back-up"
"Shop for sale in Alaknanda, Delhi","35000000","175000","200","Alaknanda, Delhi","₹ 115000 Rental Income, East Facing"
"Ready to move Office Space for sale in Nehru Place, Delhi","40000000","30581","1308","Nehru Place, Delhi","Nehru place metro Nearby, Fortis gk Nearby, +2"
"Ready to move Office Space for sale in Barakhamba Road, Delhi","17000000","16409","1036","Barakhamba Road, Delhi","Janpath Metro Nearby, Dr. RML Hospital Nearby, +2"
"Ready to move Office Space for sale in Sector B Vasant Kunj, Delhi","80000000","47058","1700","Sector B Vasant Kunj, Delhi","4.46% ROI, ₹ 300000 Rental Income"
"Ready to move Office Space for sale in Sector B Vasant Kunj, Delhi","39000000","35583","1096","Sector B Vasant Kunj, Delhi","4.87% ROI, ₹ 160000 Rental Income"
"Ready to move Office Space for sale in Block B Vasant Kunj, Delhi","180000000","36000","5000","Block B Vasant Kunj, Delhi","4.95% ROI, ₹ 750000 Rental Income"
"Commercial plot / Land for sale in Dashrath Puri, Delhi","1200000000","22222","54000","Dashrath Puri, Delhi","Corner Property, Rain Water Harvesting, Main road Commercial Near metro station Near dwarka expressway"
"Commercial plot / Land for sale in Mohan Co-operative Industrial Estate, Delhi","90000000","20661","43560","Mohan Co-operative Industrial Estate, Delhi",""
"Shop for sale in Khanpur, Delhi","220000000","61111","3600","Khanpur, Delhi",""
"Showroom for sale in Patparganj, Delhi","350000000","72284","4842","Patparganj, Delhi","East Facing, patparganj Nearby, +2"
"Warehouse for sale in Jonapur, Delhi","4700000","9409","4995","Jonapur, Delhi","1.53% ROI, ₹ 60000 Rental Income"
"Factory for sale in Kirti Nagar Industrial Area, Delhi","120000000","66666","4000","Kirti Nagar Industrial Area, Delhi","Recently Renovated, Rain Water Harvesting, +1"
"Shop for sale in Chandni Chowk, Delhi","8800000","209523.81","42","Chandni Chowk",""
"Shop for sale in Chandni Chowk, Delhi","10400000","203921.57","51","Chandni Chowk",""
"Shop for sale in Chandni Chowk, Delhi","7590000","168666.67","45","Chandni Chowk",""
"Shop for sale in Chandni Chowk, Delhi","8085000","179666.67","45","Chandni Chowk",""
"Shop for sale in Chandni Chowk, Delhi","8250000","171875","48","Chandni Chowk",""
"Shop for sale in Chandni Chowk, Delhi","4800000","240000","20","Chandni Chowk",""
"Commercial plot / Land for sale in Sultanpur, Delhi","137500000","61111.11","2250","Sultanpur",""
"Shop for sale in Block MG1 Vikaspuri, Delhi","33000000","41250","800","Block MG1 Vikaspuri",""
"Ready to move Office Space for sale in Sector 7 Rohini, Delhi","11000000","14048.53","783","Sector 7 Rohini",""
"Shop for sale in Preet Vihar, Delhi","16000000","53333.33","300","Preet Vihar",""
"Factory for sale in Jhilmil Industrial Area, Delhi","20000000","9578","2088","Jhilmil Industrial Area, Delhi, East Delhi","East Facing
Jhilmil metro station Nearby"
"Commercial plot / Land for sale in Sector 7 Dwarka, Delhi","82500000","95238","945","Sector 7 Dwarka, Delhi","5.17% ROI
₹ 360000 Rental Income"
"Shop for sale in Sector 19B Dwarka, Delhi","3850000","77000","50","Sector 19B Dwarka, Delhi","11.53% ROI
₹ 37000 Rental Income"
"Factory for sale in Mohan Co-operative Industrial Estate, Delhi","600000000","19048","31500","Mohan Co-operative Industrial Estate, Delhi, South Delhi","Close to Metro Station
Recently Renovated"
"Ready to move Office Space for sale in Okhla Phase 1, Delhi","31500000","24230","1300","Okhla Phase 1, Delhi","Govindpuri Metro station within 2km
Grade A Building"
"Bare shell Office Space for sale in Okhla Phase 1, Delhi","182400000","16000","11400","Okhla Phase 1, Delhi","Govindpuri Metro station within 2km
Grade A Building"
"Bare shell Office Space for sale in New Friends Colony, Delhi","3000000000","30000","100000","New Friends Colony, Delhi, South Delhi","Fresh Construction
Masterpiece for sale Once in a lifetime opportunity at this location Call for more details"
"Ready to move Office Space for sale in Green Park Extension, Delhi","333000000","185000","1800","Green Park Extension, Delhi, South Delhi",""
"Showroom for sale in Lajpat Nagar, Delhi","700000000","88888","4500","Lajpat Nagar, Delhi, South Delhi","North Facing
Lajpat nagar main ring road facing haldiram, clear title property 725 yards with clear frontage , good commercial aspects available on sale. Kindly contact for more details."
"Bare shell Office Space for sale in Shalimar Bagh, Delhi","3990000000","13300","300000","Shalimar Bagh, Delhi, North Delhi","Value for money deal with great return expected"
"Bare shell Office Space for sale in nh 8, South Delhi","4500000000","20661","174240","nh 8, South Delhi","Fresh Construction
Main nh 8 , delhi plot available for sale with sanctioned fsi for commercial area 20% & service apartments as per the policy."
"Bare shell Office Space for sale in Pocket B Mayur Vihar Phase 2, Delhi","16000000","29090","550","Pocket B Mayur Vihar Phase 2, Delhi, East Delhi","Mayur vihar phase 2 Nearby"
"Ready to move Office Space for sale in Lajpat Nagar 3, Delhi","30000000","13636","2200","Lajpat Nagar 3, Delhi, South Delhi","Power Back-up
Third floor with terrace duplex, lots of natural light, best location in lajapt nagar-3, near walking distance"
"Shop for sale in Krishna Nagar, Delhi","170000000","17000","10000","Krishna Nagar, Delhi","Fresh Construction
Recently Renovated"
"Shop for sale in Sector 19B Dwarka, Delhi","4000000","80000","25","Sector 19B Dwarka, Delhi","₹ 36000 Rental Income
Dwarka Sector 10 Metro within 500m"
"Showroom for sale in Greater Kailash 2, Delhi","45000000","105882","425","Greater Kailash 2, Delhi","₹ 172500 Rental Income
Ground Floor"
"Coworking Space for sale in Mangalam Place, Delhi","13000000","28260","460","Mangalam Place, Delhi","DEEPALI CHOWNK Nearby
₹ 36000 Rental Income"
"Bare shell Office Space for sale in Mangalam Place, Delhi","19000000","16074","1182","Mangalam Place, Delhi",""
"Commercial property in Nehru Enclave, Delhi","600000000","76628","7830","Nehru Enclave, Delhi, South Delhi","4.8% ROI
₹ 2400000 Rental Income"
"Farm / Agriculture land for sale in Sainik Farm, Delhi","200000000","4273","46800","Sainik Farm, Delhi, South Delhi","Wide road Suitable for commercial -Marriage/ reception purpose Ample parking Clear title"
"Factory for sale in Mohan Co-operative Industrial Estate, Delhi","380000000","17593","21600","Mohan Co-operative Industrial Estate, Delhi, South Delhi","North Facing
Mohan estate Nearby"
"Commercial plot / Land for sale in Okhla Industrial Area, Delhi","600000000","33333","18000","Okhla Industrial Area, Delhi, South Delhi","Govind puri metro Nearby
Shubham Nearby"
"Shop for sale in Paschim Vihar, Delhi","30000000","150000","200","Paschim Vihar, Delhi","Ground Floor
Recently Renovated"
"Showroom for sale in Paschim Vihar, Delhi","25000000","16666","1500","Paschim Vihar, Delhi","Recently Renovated"
"Showroom for sale in Connaught Place, Delhi","550000000","127315","4320","Connaught Place, Delhi, Central Delhi",""
"Factory for sale in Jhilmil Industrial Area, Delhi","20000000","9578","2088","Jhilmil Industrial Area, Delhi",""
"Commercial plot / Land for sale in Sector 7 Dwarka, Delhi","82500000","87302","945","Sector 7 Dwarka, Delhi",""
"Shop for sale in Sector 19B Dwarka, Delhi","3850000","77000","50","Sector 19B Dwarka, Delhi",""
"Factory for sale in Mohan Co-operative Industrial Estate, Delhi","600000000","19048","31500","Mohan Co-operative Industrial Estate, Delhi",""
"Ready to move Office Space for sale in Okhla Phase 1, Delhi","31500000","24231","1300","Okhla Phase 1, Delhi",""
"Bare shell Office Space for sale in Okhla Phase 1, Delhi","182400000","16000","11400","Okhla Phase 1, Delhi",""
"Bare shell Office Space for sale in New Friends Colony, Delhi","3000000000","30000","100000","New Friends Colony, Delhi",""
"Ready to move Office Space for sale in Green Park Extension, Delhi","333000000","185000","1800","Green Park Extension, Delhi",""
"Showroom for sale in Lajpat Nagar, Delhi","700000000","155556","4500","Lajpat Nagar, Delhi",""
"Bare shell Office Space for sale in Shalimar Bagh, Delhi","3990000000","13300","300000","Shalimar Bagh, Delhi",""
"Commercial property in Janakpuri, West Delhi","310000000","25833","12000","Janakpuri, West Delhi","Rental Income: ₹ 1200000, Close to Metro Station, Its a 500 sq yard commercial building on the main road in janakpuri on main chanandevi hospital road (Lal sai marg) .Its fully commercial and conversion charge paid for lifetime.Its a two year old building and the rent is lesser as it was given two years back now the rent is much more"
"Ready to move Office Space for sale in Moti Nagar, Delhi","33800000","41523","814","Moti Nagar, Delhi","Fully furnished office available for sale in dlf towers. We have multiple offices for sale and rent in dlf tower."
"Ready to move Office Space for sale in Moti Nagar, Delhi","104000000","40000","2600","Moti Nagar, Delhi","Fully furnished office available for sale in dlf towers. We have multiple offices for sale and rent in dlf tower."
"Commercial plot / Land for sale in Paschim Vihar, Delhi","180000000","50000","3600","Paschim Vihar, Delhi, West Delhi","Rain Water Harvesting, Semi commercial land available for sale in paschim vihar, plot area 400sqyds, free hold property, ready to move, prime location, mix land.."
"Bare shell Office Space for sale in Nauroji Nagar, Delhi","2500000000","50000","37500","Nauroji Nagar, Delhi","Grade A Building, Fresh Construction, Grade- A building with world class infrastructure. Commercial office space is available in between 10,000 to 3,00,000 squre feet in world trade center new delhi south delhi is spread over 24.96 acres. The properties in world trade center new delhi are available in numerous configurations. The project has vast dimensions and has 12 towers here. Why should you invest in world trade center new del..."
"Showroom for sale in Defence Colony, South Delhi","600000000","54545","11000","Defence Colony, South Delhi","North Facing, Air Conditioned, For sale - D- Block, defence colony commercial street road, facing the metro line, plot area 333 square yards 100% commercial building. Full building can be given for showroom/ retails/ banks etc... Having total 12,500 sqft.(2,500 each) built up area, total 5 floors as basement ground first second floor third floor. Beautifully designed and very well maintained, excellent construction quality b..."
"Showroom for sale in Green Park, Delhi","600000000","95238","15993","Green Park, Delhi","North-East Facing, Full Power Backup, For sale - Green park on main aurobindo marg, adjoining to green park metro station. Plot area 700 square yards 100% commercial building. Ground & first floor can be given for showroom/ retails/ banks etc... For further details about this property please contact, brokers please excuse... We have plenty of options of new builder floor apartments and independent houses/ bungalows in south delhi a..."
"Ready to move Office Space for sale in Saket, Delhi","250000000","25000","10000","Saket, Delhi","Grade A Building, Power Back-up, Sale - Pre-Rented property at salcon ras vilas office complex, saket, new delhi. Rented to a big multi national company. Its situated just behind select city walk mall and near to sheraton 5 star hotel. Salcon ras vilas complex is one of the best commercial office complex at saket district centre. Building with all modern basic amenities like dedicated high speed elevators for this commercial t..."
"Commercial plot / Land for sale in Pitampura, Delhi","4500000000","20661","217800","Pitampura, Delhi, North Delhi","Top prime location 900 beds a multi speciality hopital on sale in - Pitampura, ad-Measuring 5 acre allotted by dda at pitampura, new delhi, only integrated large non government healthcare facility of this nature in delhi. The project is large both in terms of size & allied facilities as compare to apollo hospital & sir ganga ram hospital taking advantage of delhi master plan 2021. Silent featur..."
"Hotel / Resort for sale in Ghitorni, Delhi","2500000000","11478","217800","Ghitorni, Delhi","North-East Facing, Air Conditioned, This hotel/ motel is spread over an expanse of 5 acres of scenic grandeur and greenery. It is located in close proximity to the industrial suburbs of gurgaon and delhi and very close to the indira gandhi international airport and domestic airport. This hotel offers upscale high quality spacious accommodations and unparalleled customer satisfaction in an environmentally sensitive atmosphere. Whe..."
"Ready to move Office Space for sale in Barakhamba Road, Delhi","115000000","46000","2500","Barakhamba Road, Delhi, Central Delhi","Air Conditioned, Fitness Center/ Gym, Sale - Pre- Rented property at world trade centre office complex, barakhamba road, connaught place, new delhi. Rented to a big multi national company. Its situated just adjoining to the lalit 5 star hotel. This office complex is one of the best commercial office complex at connaught place. Building with all modern basic amenities like dedicated high speed elevators for this commercial tower, ce..."
