"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Location","Property Status","Highlights"
"Commercial property in Sector 22 Rohini, Delhi","https://www.99acres.com/other-commercial-property-for-sale-in-sector-22-rohini-north-delhi-969-sq-ft-r2-spid-N80659547","43000000","42426","968","Commercial property","Rohini, Delhi","RESALE",""
"Bare shell Office Space for sale in Lajpat Nagar 2, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-lajpat-nagar-2-south-delhi-2700-sq-ft-spid-X83049282","60000000","22222","2700","Office Space","Lajpat Nagar 2, Delhi","RESALE","https://www.99acres.com/universalapp/img/RequestPhotoTopaz.png"
"Warehouse for sale in Naraina, Delhi","https://www.99acres.com/warehouse-for-sale-in-naraina-west-delhi-2100-sq-ft-spid-J82814676","23000000","10952","1990","Warehouse","Naraina, Delhi","RESALE","https://imagecdn.99acres.com/media1/30416/11/608331617M-1750312691584.jpg,https://imagecdn.99acres.com/media1/30416/11/608331705M-1750312714294.jpg,https://imagecdn.99acres.com/media1/30416/11/608331909M-1750312709618.jpg,https://imagecdn.99acres.com/media1/30416/11/608331787M-1750312720509.jpg"
"Warehouse for sale in Rangpuri, Delhi","https://www.99acres.com/warehouse-for-sale-in-rangpuri-south-delhi-3100-sq-ft-spid-J83815418","34000000","10967","3100","Warehouse","Rangpuri, Delhi","RESALE","https://www.99acres.com/universalapp/img/voulmeOff.png,https://static.99acres.com/universalapp/img/toapzImage.png"
"Factory for sale in Okhla Phase 2, Delhi","https://www.99acres.com/factory-for-sale-in-okhla-phase-2-south-delhi-2520-sq-ft-spid-Y82523036","40000000","15873","2520","Factory","Okhla Phase 2, Delhi","RESALE",""
"Ready to move Office Space for sale in Sector 19 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-19-dwarka-delhi-720-sq-ft-spid-W82305602","16000000","22222","720","Office Space","Sector 19 Dwarka, Delhi","RESALE","https://imagecdn.99acres.com/media1/29784/10/595690533M-1747200367837.jpg,https://imagecdn.99acres.com/media1/29784/10/595690855M-1747200415085.jpg,https://imagecdn.99acres.com/media1/29784/10/595690435M-1747200364391.jpg,https://imagecdn.99acres.com/media1/29784/10/595690737M-1747200378742.jpg,https://imagecdn.99acres.com/media1/29784/10/595690935M-1747200430971.jpg"
"Showroom for sale in Nauroji Nagar, Delhi","https://www.99acres.com/showroom-for-sale-in-world-trade-center-new-delhi-nauroji-nagar-south-delhi-3500-sq-ft-r1-spid-N81896542","385000000","192500","2000","Showroom","Nauroji Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/25755/10/515110561M-1725009465387.jpg"
"Factory for sale in Okhla Phase 1, Delhi","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-50000-sq-ft-spid-U77149167","600000000","12000","50000","Factory","Okhla Phase 1, Delhi","RESALE",""
"Ready to move Office Space for sale in Okhla Phase 2, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-okhla-phase-2-south-delhi-20000-sq-ft-spid-N83453568","177500000","8875","20000","Office Space","Okhla Phase 2, Delhi","RESALE","https://www.99acres.com/universalapp/img/voulmeOff.png,https://static.99acres.com/universalapp/img/toapzImage.png"
"Shop for sale in Chandni Chowk, Delhi","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-230-sq-ft-spid-P83134140","31100000","135000","115","Shop","Chandni Chowk, Delhi","RESALE","https://www.99acres.com/universalapp/img/voulmeOff.png,https://static.99acres.com/universalapp/img/toapzImage.png"
