Property_Type,Transaction_Type,Location,latitude,longitude,Price,Area_sqft,Price_per_sqft,area_type,Construction_Status,Age_in_Years,Possession_Date,Furnishing_Status,Zoning,Facing,Overlooking,Pantry,Water_Availability_Status,Washrooms,Floor_Number,Total_Floors,Covered_Parking,Open_Parking,Open_Sides,Plot_Length,Plot_Breadth,Entrance_Width_ft,Road_Width_m
industrial building,sale,sector 4 noida,28.5836826,77.3229658,88500000.0,4400.0,20113.64,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida sector 18 metro noida,28.5705631,77.3266184,13500000.0,662.0,20392.75,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Wet Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,0,2,1.0,40.0,85.0,12.0,24.0
shop,sale,dadri road noida,28.5566273,77.3257596,17400000.0,184.0,94565.22,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,20.0,24.0
industrial land,sale,rohini new delhi,28.719436,77.0672351,85000000.0,4725.0,17989.42,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,block b sector 4 noida,28.4707522,77.5319152,750000000.0,8000.0,93750.0,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida extension greater noida,28.5706333,77.3272147,6090000.0,1107.0,5501.36,Super Area,Under Construction,-1.0,Jun '26,Not Specified,Not Specified,Not Specified,Pool,Dry Pantry/Cafeteria,NotSpecified,4.0,12.0,32.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sohna gurgaon,28.3241636,77.0848644,9000000.0,510.0,17647.06,Carpet Area,Ready to Move,12.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,6.0,0,0,1.0,40.0,85.0,15.0,24.0
land,sale,noida express way noida,28.5706333,77.3272147,70000000.0,3150.0,22222.22,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,19.8,159.0,12.0,24.0
office in it park/ sez,sale,noida express way noida,28.5706333,77.3272147,10000000.0,600.0,16666.67,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Dry Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 48 gurgaon,28.4104903,77.0394627,10000000.0,800.0,12500.0,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Wet Pantry/Cafeteria,NotSpecified,9.0,1.0,4.0,0,6,1.0,40.0,85.0,12.0,24.0
